timestamp,value
1747369027.322,-9.289,-3.628,0.838
1747369027.474,-9.231,-3.522,0.754
1747369027.475,-9.231,-3.521,0.754
1747369027.477,-9.230,-3.520,0.753
1747369027.478,-9.230,-3.519,0.752
1747369027.480,-9.229,-3.518,0.751
1747369027.481,-9.228,-3.517,0.750
1747369027.482,-9.228,-3.515,0.750
1747369027.484,-9.227,-3.514,0.749
1747369027.485,-9.227,-3.513,0.748
1747369027.487,-9.226,-3.512,0.747
1747369027.488,-9.226,-3.511,0.746
1747369027.490,-9.225,-3.510,0.746
1747369027.491,-9.225,-3.509,0.745
1747369027.493,-9.224,-3.508,0.744
1747369027.494,-9.223,-3.507,0.743
1747369027.496,-9.223,-3.506,0.742
1747369027.497,-9.222,-3.505,0.741
1747369027.499,-9.222,-3.504,0.741
1747369027.500,-9.221,-3.503,0.740
1747369027.502,-9.220,-3.502,0.739
1747369027.503,-9.220,-3.501,0.738
1747369027.505,-9.219,-3.500,0.737
1747369027.506,-9.219,-3.499,0.736
1747369027.508,-9.218,-3.497,0.736
1747369027.509,-9.218,-3.496,0.735
1747369027.511,-9.217,-3.495,0.734
1747369027.512,-9.216,-3.494,0.733
1747369027.514,-9.216,-3.493,0.732
1747369027.515,-9.215,-3.492,0.731
1747369027.517,-9.215,-3.491,0.730
1747369027.518,-9.214,-3.490,0.730
1747369027.520,-9.213,-3.489,0.729
1747369027.522,-9.213,-3.488,0.728
1747369027.523,-9.212,-3.486,0.727
1747369027.525,-9.212,-3.485,0.726
1747369027.526,-9.211,-3.484,0.725
1747369027.528,-9.210,-3.483,0.724
1747369027.529,-9.210,-3.482,0.723
1747369027.531,-9.209,-3.481,0.723
1747369027.533,-9.209,-3.480,0.722
1747369027.534,-9.208,-3.479,0.721
1747369027.536,-9.207,-3.477,0.720
1747369027.537,-9.207,-3.476,0.719
1747369027.539,-9.206,-3.475,0.718
1747369027.540,-9.205,-3.474,0.717
1747369027.542,-9.205,-3.473,0.716
1747369027.544,-9.204,-3.472,0.715
1747369027.545,-9.204,-3.471,0.715
1747369027.547,-9.203,-3.469,0.714
1747369027.561,-9.197,-3.459,0.706
1747369027.563,-9.197,-3.458,0.705
1747369027.565,-9.196,-3.457,0.704
1747369027.566,-9.195,-3.455,0.703
1747369027.568,-9.195,-3.454,0.702
