timestamp,amplitude,frequency
1747369027.322,0.036,383.894
1747369027.474,0.038,384.525
1747369027.475,0.038,384.531
1747369027.477,0.038,384.537
1747369027.478,0.039,384.543
1747369027.480,0.039,384.549
1747369027.481,0.039,384.555
1747369027.482,0.039,384.561
1747369027.484,0.039,384.567
1747369027.485,0.039,384.573
1747369027.487,0.039,384.579
1747369027.488,0.039,384.585
1747369027.490,0.039,384.591
1747369027.491,0.039,384.597
1747369027.493,0.039,384.603
1747369027.494,0.039,384.610
1747369027.496,0.039,384.616
1747369027.497,0.039,384.622
1747369027.499,0.039,384.628
1747369027.500,0.039,384.635
1747369027.502,0.039,384.641
1747369027.503,0.039,384.647
1747369027.505,0.039,384.653
1747369027.506,0.039,384.660
1747369027.508,0.039,384.666
1747369027.509,0.039,384.672
1747369027.511,0.039,384.679
1747369027.512,0.039,384.685
1747369027.514,0.039,384.692
1747369027.515,0.039,384.698
1747369027.517,0.039,384.704
1747369027.518,0.039,384.711
1747369027.520,0.039,384.717
1747369027.522,0.039,384.724
1747369027.523,0.039,384.730
1747369027.525,0.039,384.737
1747369027.526,0.039,384.743
1747369027.528,0.039,384.750
1747369027.529,0.040,384.756
1747369027.531,0.040,384.763
1747369027.533,0.040,384.769
1747369027.534,0.040,384.776
1747369027.536,0.040,384.783
1747369027.537,0.040,384.789
1747369027.539,0.040,384.796
1747369027.540,0.040,384.802
1747369027.542,0.040,384.809
1747369027.544,0.040,384.816
1747369027.545,0.040,384.822
1747369027.547,0.040,384.829
1747369027.561,0.040,384.889
1747369027.563,0.040,384.896
1747369027.565,0.040,384.903
1747369027.566,0.040,384.910
1747369027.568,0.040,384.917
1747369027.570,0.040,384.924
1747369027.571,0.040,384.931
1747369027.573,0.040,384.937
1747369027.575,0.040,384.945
1747369027.576,0.040,384.952
1747369027.578,0.040,384.959
1747369027.580,0.040,384.966
1747369027.581,0.041,384.972
1747369027.583,0.041,384.979
1747369027.585,0.041,384.986
1747369027.586,0.041,384.994
1747369027.588,0.041,385.001
1747369027.590,0.041,385.008
1747369027.592,0.041,385.016
1747369027.593,0.041,385.023
1747369027.595,0.041,385.031
1747369027.597,0.041,385.038
1747369027.599,0.041,385.045
1747369027.600,0.041,385.053
1747369027.602,0.041,385.060
1747369027.604,0.041,385.068
1747369027.606,0.041,385.075
1747369027.608,0.041,385.082
1747369027.609,0.041,385.090
1747369027.611,0.041,385.097
1747369027.613,0.041,385.105
1747369027.615,0.041,385.112
1747369027.616,0.041,385.119
1747369027.618,0.041,385.127
1747369027.620,0.041,385.134
1747369027.622,0.041,385.142
1747369027.624,0.041,385.149
1747369027.625,0.041,385.157
1747369027.627,0.041,385.164
1747369027.629,0.041,385.172
1747369027.631,0.042,385.179
1747369027.633,0.042,385.188
1747369027.635,0.042,385.195
1747369027.636,0.042,385.203
1747369027.638,0.042,385.211
1747369027.640,0.042,385.218
1747369027.642,0.042,385.226
1747369027.644,0.042,385.234
1747369027.646,0.042,385.241
1747369027.647,0.042,385.248
1747369027.671,0.042,385.348
1747369027.673,0.042,385.356
1747369027.676,0.042,385.369
1747369027.679,0.042,385.382
1747369027.683,0.043,385.398
1747369027.687,0.043,385.415
1747369027.691,0.043,385.433
1747369027.694,0.043,385.443
1747369027.697,0.043,385.457
1747369027.700,0.043,385.470
1747369027.704,0.043,385.484
1747369027.706,0.043,385.494
1747369027.708,0.043,385.502
1747369027.710,0.043,385.510
1747369027.712,0.043,385.519
1747369027.713,0.043,385.526
1747369027.715,0.043,385.533
1747369027.718,0.043,385.543
1747369027.719,0.043,385.551
1747369027.721,0.043,385.558
1747369027.723,0.043,385.565
1747369027.725,0.043,385.572
1747369027.726,0.043,385.579
1747369027.728,0.043,385.586
1747369027.730,0.044,385.593
1747369027.731,0.044,385.601
1747369027.733,0.044,385.610
1747369027.735,0.044,385.617
1747369027.737,0.044,385.624
1747369027.739,0.044,385.631
1747369027.740,0.044,385.638
1747369027.742,0.044,385.646
1747369027.744,0.044,385.653
1747369027.745,0.044,385.660
1747369027.747,0.044,385.667
1747369027.749,0.044,385.674
1747369027.751,0.044,385.682
1747369027.752,0.044,385.689
1747369027.754,0.044,385.696
1747369027.756,0.044,385.704
1747369027.758,0.044,385.711
1747369027.759,0.044,385.719
1747369027.761,0.044,385.727
1747369027.763,0.044,385.734
1747369027.765,0.044,385.742
1747369027.767,0.044,385.750
1747369027.769,0.044,385.758
1747369027.771,0.044,385.766
1747369027.772,0.044,385.773
1747369027.774,0.044,385.781
1747369027.784,0.045,385.822
1747369027.786,0.045,385.829
1747369027.788,0.045,385.837
1747369027.789,0.045,385.844
1747369027.791,0.045,385.851
1747369027.793,0.045,385.859
1747369027.794,0.045,385.866
1747369027.796,0.045,385.873
