timestamp,qw,qx,qy,qz,roll,pitch,yaw
1747369027.322,0.986,-0.075,-0.099,0.109,-0.173,-0.179,0.235
1747369027.474,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.475,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.477,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.478,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.480,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.481,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.482,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.484,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.485,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.487,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.488,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.490,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.491,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.493,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.494,0.986,-0.077,-0.101,0.109,-0.178,-0.183,0.236
1747369027.496,0.986,-0.077,-0.101,0.109,-0.179,-0.183,0.236
1747369027.497,0.986,-0.077,-0.101,0.109,-0.179,-0.183,0.236
1747369027.499,0.986,-0.077,-0.101,0.109,-0.179,-0.183,0.236
1747369027.500,0.986,-0.077,-0.101,0.109,-0.179,-0.183,0.236
1747369027.502,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.503,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.505,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.506,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.508,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.509,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.511,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.512,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.514,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.515,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.517,0.986,-0.078,-0.101,0.109,-0.179,-0.183,0.236
1747369027.518,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.520,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.522,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.523,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.525,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.526,0.986,-0.078,-0.101,0.109,-0.179,-0.184,0.236
1747369027.528,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.529,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.531,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.533,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.534,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.536,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.537,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.539,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.540,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.542,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.544,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.545,0.986,-0.078,-0.101,0.109,-0.180,-0.184,0.236
1747369027.547,0.986,-0.078,-0.101,0.108,-0.180,-0.184,0.236
1747369027.561,0.986,-0.078,-0.102,0.108,-0.181,-0.184,0.236
1747369027.563,0.986,-0.078,-0.102,0.108,-0.181,-0.184,0.236
1747369027.565,0.986,-0.078,-0.102,0.108,-0.181,-0.184,0.236
1747369027.566,0.986,-0.078,-0.102,0.108,-0.181,-0.184,0.236
1747369027.568,0.986,-0.078,-0.102,0.108,-0.181,-0.184,0.236
1747369027.570,0.986,-0.079,-0.102,0.108,-0.181,-0.184,0.236
1747369027.571,0.986,-0.079,-0.102,0.108,-0.181,-0.184,0.236
1747369027.573,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.575,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.576,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.578,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.580,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.581,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.583,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.585,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.586,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.588,0.986,-0.079,-0.102,0.108,-0.181,-0.185,0.236
1747369027.590,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.592,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.593,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.595,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.597,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.599,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.600,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.602,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.604,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.606,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.608,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.609,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.611,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.613,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.615,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.616,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.618,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.620,0.986,-0.079,-0.102,0.108,-0.182,-0.185,0.236
1747369027.622,0.986,-0.079,-0.102,0.108,-0.183,-0.185,0.236
1747369027.624,0.986,-0.079,-0.102,0.108,-0.183,-0.185,0.236
1747369027.625,0.986,-0.079,-0.102,0.108,-0.183,-0.185,0.236
1747369027.627,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.629,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.631,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.633,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.635,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.636,0.986,-0.079,-0.102,0.108,-0.183,-0.186,0.236
1747369027.638,0.986,-0.080,-0.102,0.108,-0.183,-0.186,0.236
1747369027.640,0.986,-0.080,-0.102,0.108,-0.183,-0.186,0.236
1747369027.642,0.986,-0.080,-0.102,0.108,-0.183,-0.186,0.236
1747369027.644,0.986,-0.080,-0.102,0.108,-0.183,-0.186,0.236
