timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746751872.891,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.901,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.911,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.921,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.931,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.941,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.951,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.961,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.971,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.981,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.991,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.001,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.011,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.021,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.031,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.041,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.051,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.061,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.071,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.081,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.091,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.892,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.902,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.912,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.922,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.932,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.942,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.952,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.962,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.972,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.982,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.992,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.002,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.012,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.022,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.032,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.042,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.052,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.062,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.072,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.082,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.092,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.894,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.904,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.914,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.924,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.934,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.944,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.954,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.964,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.974,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.984,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751872.994,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.004,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.014,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.024,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.034,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.044,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.054,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.064,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.074,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.084,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.094,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.892,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
1746751873.902,0.814,0.107,0.229,-0.523,-4.296,28.954,-66.501
