timestamp,amplitude,frequency
1746751876.460,0.347,341.200
1746751876.461,0.347,341.201
1746751876.463,0.347,341.203
1746751876.465,0.347,341.204
1746751876.466,0.347,341.205
1746751876.467,0.347,341.206
1746751876.469,0.347,341.207
1746751876.470,0.347,341.208
1746751876.472,0.347,341.209
1746751876.473,0.347,341.210
1746751876.474,0.347,341.211
1746751876.476,0.347,341.212
1746751876.477,0.347,341.214
1746751876.479,0.346,341.215
1746751876.480,0.346,341.216
1746751876.482,0.346,341.217
1746751876.483,0.346,341.218
1746751876.484,0.346,341.219
1746751876.486,0.346,341.220
1746751876.487,0.346,341.221
1746751876.489,0.346,341.222
1746751876.490,0.346,341.224
1746751876.492,0.346,341.225
1746751876.493,0.346,341.226
1746751876.495,0.346,341.227
1746751876.496,0.346,341.228
1746751876.497,0.346,341.229
1746751876.499,0.346,341.230
1746751876.500,0.345,341.232
1746751876.502,0.345,341.233
1746751876.503,0.345,341.234
1746751876.505,0.345,341.235
1746751876.506,0.345,341.236
1746751876.507,0.345,341.237
1746751876.509,0.345,341.238
1746751876.510,0.345,341.239
1746751876.512,0.345,341.241
1746751876.514,0.345,341.242
1746751876.517,0.345,341.245
1746751876.518,0.345,341.246
1746751876.520,0.345,341.247
1746751876.521,0.344,341.248
1746751876.523,0.344,341.249
1746751876.525,0.344,341.251
1746751876.527,0.344,341.252
1746751876.528,0.344,341.253
1746751876.529,0.344,341.254
1746751876.531,0.344,341.256
1746751876.533,0.344,341.257
1746751876.534,0.344,341.258
1746751876.536,0.344,341.260
1746751876.538,0.344,341.261
1746751876.539,0.344,341.262
1746751876.541,0.344,341.264
1746751876.543,0.343,341.265
1746751876.545,0.343,341.266
1746751876.547,0.343,341.268
1746751876.548,0.343,341.269
1746751876.550,0.343,341.270
1746751876.551,0.343,341.272
1746751876.553,0.343,341.273
1746751876.556,0.343,341.275
1746751876.560,0.343,341.279
1746751876.562,0.343,341.280
1746751876.563,0.342,341.281
1746751876.565,0.342,341.283
1746751876.567,0.342,341.284
1746751876.568,0.342,341.285
1746751876.570,0.342,341.287
1746751876.571,0.342,341.288
1746751876.573,0.342,341.289
1746751876.575,0.342,341.290
1746751876.576,0.342,341.292
1746751876.578,0.342,341.293
1746751876.581,0.342,341.295
1746751876.583,0.342,341.297
1746751876.584,0.341,341.298
1746751876.586,0.341,341.299
1746751876.587,0.341,341.301
1746751876.589,0.341,341.302
1746751876.591,0.341,341.303
1746751876.592,0.341,341.305
1746751876.594,0.341,341.306
1746751876.597,0.341,341.309
1746751876.599,0.341,341.310
1746751876.601,0.341,341.311
1746751876.602,0.341,341.312
1746751876.604,0.341,341.314
1746751876.608,0.340,341.318
1746751876.610,0.340,341.319
1746751876.612,0.340,341.320
1746751876.614,0.340,341.322
1746751876.615,0.340,341.323
1746751876.617,0.340,341.324
1746751876.619,0.340,341.326
1746751876.620,0.340,341.327
1746751876.622,0.340,341.329
1746751876.624,0.340,341.330
1746751876.625,0.340,341.331
1746751876.627,0.339,341.333
1746751876.629,0.339,341.334
1746751876.631,0.339,341.336
1746751876.632,0.339,341.337
1746751876.634,0.339,341.338
1746751876.636,0.339,341.340
1746751876.637,0.339,341.341
1746751876.639,0.339,341.342
1746751876.641,0.339,341.344
1746751876.642,0.339,341.345
1746751876.644,0.339,341.346
1746751876.646,0.339,341.348
1746751876.647,0.339,341.349
1746751876.649,0.338,341.350
1746751876.650,0.338,341.352
1746751876.652,0.338,341.353
1746751876.654,0.338,341.354
1746751876.655,0.338,341.356
1746751876.657,0.338,341.357
1746751876.659,0.338,341.358
1746751876.660,0.338,341.360
1746751876.662,0.338,341.361
1746751876.664,0.338,341.363
1746751876.666,0.338,341.364
1746751876.669,0.337,341.367
1746751876.671,0.337,341.369
1746751876.673,0.337,341.370
1746751876.675,0.337,341.372
1746751876.676,0.337,341.373
1746751876.678,0.337,341.374
1746751876.679,0.337,341.376
1746751876.681,0.337,341.377
1746751876.683,0.337,341.378
1746751876.684,0.337,341.380
1746751876.686,0.337,341.381
1746751876.687,0.337,341.382
1746751876.689,0.337,341.383
1746751876.690,0.336,341.385
1746751876.692,0.336,341.386
1746751876.697,0.336,341.390
1746751876.699,0.336,341.392
1746751876.700,0.336,341.393
1746751876.702,0.336,341.394
1746751876.704,0.336,341.396
1746751876.706,0.336,341.397
1746751876.708,0.336,341.399
1746751876.710,0.336,341.401
1746751876.711,0.335,341.402
1746751876.713,0.335,341.403
1746751876.715,0.335,341.405
1746751876.716,0.335,341.406
1746751876.718,0.335,341.408
1746751876.720,0.335,341.409
1746751876.721,0.335,341.410
1746751876.723,0.335,341.412
1746751876.724,0.335,341.413
1746751876.726,0.335,341.414
1746751876.728,0.335,341.416
1746751876.729,0.335,341.417
1746751876.731,0.335,341.419
1746751876.733,0.334,341.420
1746751876.734,0.334,341.421
1746751876.736,0.334,341.423
1746751876.737,0.334,341.424
1746751876.741,0.334,341.427
1746751876.743,0.334,341.429
1746751876.745,0.334,341.430
1746751876.746,0.334,341.432
1746751876.748,0.334,341.433
1746751876.750,0.334,341.434
1746751876.751,0.334,341.436
1746751876.753,0.333,341.437
1746751876.755,0.333,341.439
1746751876.757,0.333,341.440
1746751876.759,0.333,341.442
1746751876.761,0.333,341.444
1746751876.762,0.333,341.445
1746751876.766,0.333,341.448
1746751876.767,0.333,341.449
1746751876.769,0.333,341.451
1746751876.771,0.333,341.452
1746751876.772,0.333,341.453
1746751876.774,0.333,341.455
1746751876.776,0.332,341.456
1746751876.778,0.332,341.458
1746751876.780,0.332,341.460
1746751876.782,0.332,341.461
1746751876.783,0.332,341.463
1746751876.785,0.332,341.465
1746751876.790,0.332,341.468
1746751876.792,0.332,341.470
1746751876.793,0.332,341.471
1746751876.795,0.332,341.473
1746751876.797,0.331,341.474
1746751876.798,0.331,341.476
1746751876.800,0.331,341.477
1746751876.802,0.331,341.478
1746751876.805,0.331,341.481
1746751876.807,0.331,341.483
1746751876.808,0.331,341.484
1746751876.810,0.331,341.485
1746751876.811,0.331,341.487
1746751876.813,0.331,341.488
1746751876.815,0.331,341.490
1746751876.816,0.331,341.491
