timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746727393.891,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.901,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.911,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.921,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.931,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.941,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.951,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.961,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.971,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.981,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.991,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.001,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.011,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.021,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.031,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.041,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.051,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.061,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.071,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.081,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.091,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.893,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.903,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.913,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.923,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.933,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.943,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.953,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.963,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.973,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.983,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727393.993,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.003,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.013,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.023,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.033,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.043,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.053,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.063,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.073,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.083,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.093,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.890,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.900,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.910,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.920,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.930,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.940,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.950,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.960,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.970,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.980,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.990,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.000,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.010,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.020,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.030,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.040,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.050,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.060,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.070,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.080,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727395.090,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.892,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.902,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.912,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.922,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
1746727394.932,0.706,-0.685,0.170,-0.065,-89.745,8.698,-19.156
