timestamp,amplitude,frequency
1746727309.167,0.349,538.829
1746727309.219,0.347,538.790
1746727309.257,0.345,538.759
1746727309.263,0.345,538.755
1746727309.269,0.344,538.750
1746727309.275,0.344,538.746
1746727309.315,0.342,538.714
1746727309.320,0.342,538.709
1746727309.360,0.340,538.678
1746727309.364,0.340,538.674
1746727309.369,0.340,538.670
1746727309.375,0.339,538.665
1746727309.380,0.339,538.661
1746727309.383,0.339,538.659
1746727309.398,0.338,538.646
1746727309.403,0.338,538.643
1746727309.408,0.338,538.639
1746727309.412,0.338,538.635
1746727309.417,0.337,538.631
1746727309.422,0.337,538.627
1746727309.427,0.337,538.623
1746727309.432,0.337,538.618
1746727309.437,0.336,538.615
1746727309.444,0.336,538.609
1746727309.447,0.336,538.606
1746727309.453,0.336,538.601
1746727309.457,0.335,538.598
1746727309.463,0.335,538.592
1746727309.469,0.335,538.587
1746727309.475,0.335,538.583
1746727309.482,0.334,538.577
1746727309.488,0.334,538.572
1746727309.494,0.334,538.567
1746727309.496,0.334,538.565
1746727309.502,0.333,538.560
1746727309.508,0.333,538.555
1746727309.513,0.333,538.550
1746727309.520,0.332,538.545
1746727309.525,0.332,538.540
1746727309.531,0.332,538.535
1746727309.533,0.332,538.533
1746727309.539,0.332,538.528
1746727309.546,0.331,538.523
1746727309.551,0.331,538.519
1746727309.557,0.331,538.513
1746727309.591,0.329,538.483
1746727309.630,0.327,538.450
1746727309.669,0.325,538.415
1746727309.676,0.325,538.409
1746727309.679,0.325,538.406
1746727309.686,0.325,538.400
1746727309.690,0.325,538.397
1746727309.696,0.324,538.391
1746727309.701,0.324,538.387
1746727309.708,0.324,538.381
1746727309.713,0.323,538.376
1746727309.719,0.323,538.371
1746727309.724,0.323,538.366
1746727309.758,0.321,538.336
1746727309.764,0.321,538.330
1746727309.769,0.321,538.325
1746727309.773,0.321,538.322
1746727309.779,0.320,538.316
1746727309.784,0.320,538.312
1746727309.790,0.320,538.306
1746727309.795,0.320,538.302
1746727309.801,0.319,538.296
1746727309.807,0.319,538.291
1746727309.815,0.319,538.283
1746727309.819,0.318,538.279
1746727309.827,0.318,538.272
1746727309.835,0.318,538.265
1746727309.841,0.317,538.259
1746727309.847,0.317,538.254
1746727309.853,0.317,538.248
1746727309.855,0.317,538.246
1746727309.861,0.317,538.240
1746727309.906,0.314,538.199
1746727309.912,0.314,538.193
1746727309.916,0.314,538.189
1746727309.921,0.314,538.184
1746727309.926,0.313,538.179
1746727309.931,0.313,538.175
1746727309.937,0.313,538.169
1746727309.943,0.313,538.163
1746727309.950,0.312,538.156
1746727309.957,0.312,538.150
1746727309.963,0.312,538.144
1746727309.970,0.311,538.137
1746727310.015,0.309,538.094
1746727310.063,0.307,538.047
1746727310.110,0.305,538.001
1746727310.117,0.305,537.994
1746727310.122,0.304,537.988
1746727310.133,0.304,537.978
1746727310.188,0.301,537.922
1746727310.195,0.301,537.915
1746727310.201,0.301,537.909
1746727310.209,0.300,537.901
1746727310.215,0.300,537.895
1746727310.222,0.300,537.887
1746727310.227,0.300,537.883
1746727310.234,0.299,537.876
1746727310.238,0.299,537.871
1746727310.246,0.299,537.863
1746727310.252,0.298,537.857
1746727310.260,0.298,537.849
1746727310.265,0.298,537.844
1746727310.272,0.298,537.836
1746727310.280,0.297,537.828
1746727310.286,0.297,537.822
1746727310.293,0.297,537.814
1746727310.297,0.296,537.810
1746727310.305,0.296,537.802
1746727310.312,0.296,537.795
1746727310.359,0.294,537.745
1746727310.367,0.293,537.737
1746727310.372,0.293,537.731
1746727310.427,0.290,537.673
1746727310.474,0.288,537.622
1746727310.515,0.287,537.577
1746727310.521,0.286,537.570
1746727310.526,0.286,537.565
1746727310.531,0.286,537.560
1746727310.537,0.286,537.553
1746727310.543,0.285,537.547
1746727310.549,0.285,537.540
1746727310.552,0.285,537.537
1746727310.557,0.285,537.531
1746727310.562,0.284,537.526
1746727310.568,0.284,537.519
