timestamp,amplitude,frequency
1747368991.438,0.999,371.710
1747368991.589,0.999,371.161
1747368991.590,0.999,371.155
1747368991.592,0.999,371.150
1747368991.593,0.999,371.145
1747368991.594,0.999,371.140
1747368991.596,0.999,371.135
1747368991.597,0.999,371.130
1747368991.599,0.999,371.124
1747368991.600,0.999,371.119
1747368991.602,0.999,371.114
1747368991.603,0.999,371.109
1747368991.604,0.999,371.104
1747368991.606,0.999,371.098
1747368991.607,0.999,371.093
1747368991.609,0.999,371.088
1747368991.610,0.999,371.083
1747368991.612,0.999,371.077
1747368991.613,0.999,371.072
1747368991.615,0.999,371.067
1747368991.616,0.999,371.062
1747368991.617,0.999,371.056
1747368991.619,0.999,371.051
1747368991.620,0.999,371.046
1747368991.622,0.999,371.040
1747368991.623,0.999,371.035
1747368991.625,0.999,371.029
1747368991.626,0.999,371.024
1747368991.628,0.999,371.019
1747368991.629,0.999,371.013
1747368991.631,0.999,371.008
1747368991.632,0.999,371.002
1747368991.634,0.999,370.997
1747368991.635,0.999,370.991
1747368991.637,0.999,370.986
1747368991.639,0.999,370.980
1747368991.640,0.999,370.974
1747368991.642,0.999,370.969
1747368991.643,0.999,370.963
1747368991.645,0.999,370.957
1747368991.646,0.999,370.952
1747368991.648,0.999,370.946
1747368991.649,0.999,370.941
1747368991.651,0.999,370.935
1747368991.653,0.999,370.929
1747368991.654,0.999,370.924
1747368991.656,0.999,370.918
1747368991.657,0.999,370.912
1747368991.659,0.999,370.907
1747368991.660,0.999,370.901
1747368991.675,1.000,370.849
1747368991.676,1.000,370.843
1747368991.678,1.000,370.838
1747368991.680,1.000,370.832
1747368991.681,1.000,370.826
1747368991.683,1.000,370.820
1747368991.684,1.000,370.814
1747368991.686,1.000,370.809
1747368991.688,1.000,370.803
1747368991.689,1.000,370.797
1747368991.691,1.000,370.791
1747368991.693,1.000,370.785
1747368991.694,1.000,370.779
1747368991.696,1.000,370.773
1747368991.698,1.000,370.767
1747368991.699,1.000,370.761
1747368991.701,1.000,370.755
1747368991.703,1.000,370.749
1747368991.704,1.000,370.742
1747368991.706,1.000,370.736
1747368991.708,1.000,370.730
1747368991.710,1.000,370.724
1747368991.711,1.000,370.717
1747368991.713,1.000,370.711
1747368991.715,1.000,370.705
1747368991.716,1.000,370.699
1747368991.718,1.000,370.693
1747368991.720,1.000,370.686
1747368991.722,1.000,370.680
1747368991.723,1.000,370.674
1747368991.725,1.000,370.667
1747368991.727,1.000,370.661
1747368991.729,1.000,370.655
1747368991.730,1.000,370.648
1747368991.732,1.000,370.642
1747368991.734,1.000,370.636
1747368991.736,1.000,370.630
1747368991.737,1.000,370.624
1747368991.739,1.000,370.618
1747368991.741,1.000,370.612
1747368991.742,1.000,370.605
1747368991.744,1.000,370.599
1747368991.746,1.000,370.593
1747368991.747,1.000,370.587
1747368991.749,1.000,370.581
1747368991.751,1.000,370.575
1747368991.752,1.000,370.569
1747368991.754,1.000,370.563
1747368991.756,1.000,370.558
1747368991.757,1.000,370.552
1747368991.766,1.000,370.522
1747368991.767,1.000,370.515
1747368991.769,1.000,370.509
1747368991.771,1.000,370.503
1747368991.772,1.000,370.497
1747368991.774,1.000,370.491
1747368991.776,1.000,370.485
1747368991.777,1.000,370.480
1747368991.779,1.000,370.474
1747368991.781,1.000,370.468
1747368991.782,1.000,370.462
1747368991.784,1.000,370.456
1747368991.785,1.000,370.450
1747368991.787,1.000,370.444
1747368991.789,1.000,370.436
1747368991.791,1.000,370.429
1747368991.793,1.000,370.422
1747368991.796,1.000,370.414
1747368991.798,1.000,370.407
1747368991.799,1.000,370.400
1747368991.801,1.000,370.394
1747368991.803,1.000,370.387
1747368991.805,1.000,370.380
1747368991.807,1.000,370.373
1747368991.809,1.000,370.366
1747368991.811,1.000,370.358
1747368991.813,1.000,370.351
1747368991.815,1.000,370.344
1747368991.817,1.000,370.337
1747368991.819,1.000,370.330
1747368991.821,1.000,370.323
1747368991.823,1.000,370.316
1747368991.825,1.000,370.309
1747368991.826,1.000,370.303
1747368991.828,1.000,370.297
1747368991.830,1.000,370.290
1747368991.832,1.000,370.283
1747368991.834,1.000,370.276
1747368991.836,1.000,370.269
1747368991.838,1.000,370.262
1747368991.840,1.000,370.255
1747368991.842,1.000,370.247
1747368991.844,1.000,370.240
1747368991.846,1.000,370.233
1747368991.848,1.000,370.226
1747368991.850,1.000,370.219
1747368991.852,1.000,370.212
1747368991.854,1.000,370.203
1747368991.856,1.000,370.196
1747368991.858,1.000,370.189
1747368991.869,1.000,370.151
1747368991.871,1.000,370.144
1747368991.873,1.000,370.137
1747368991.875,1.000,370.130
1747368991.877,1.000,370.123
1747368991.879,1.000,370.116
1747368991.881,1.000,370.109
1747368991.883,1.000,370.102
1747368991.885,1.000,370.094
1747368991.887,1.000,370.087
1747368991.889,1.000,370.079
1747368991.891,1.000,370.072
1747368991.893,1.000,370.065
1747368991.895,1.000,370.058
1747368991.897,1.000,370.051
1747368991.899,1.000,370.044
1747368991.901,1.000,370.037
1747368991.903,1.000,370.031
1747368991.905,1.000,370.023
1747368991.907,1.000,370.015
1747368991.909,1.000,370.007
1747368991.911,1.000,370.000
1747368991.913,1.000,369.992
1747368991.916,1.000,369.985
1747368991.918,1.000,369.977
1747368991.920,1.000,369.969
1747368991.922,1.000,369.962
1747368991.924,1.000,369.954
1747368991.926,1.000,369.947
1747368991.928,1.000,369.939
1747368991.931,1.000,369.930
1747368991.933,1.000,369.922
1747368991.935,1.000,369.914
1747368991.937,1.000,369.906
1747368991.940,1.000,369.898
