timestamp,amplitude,frequency
1746733516.586,0.917,351.935
1746733519.397,0.824,346.166
1746733520.690,0.773,344.129
1746733521.569,0.735,342.972
1746733522.103,0.711,342.360
1746733522.399,0.697,342.052
1746733522.543,0.691,341.909
1746733522.645,0.686,341.811
1746733522.650,0.686,341.806
1746733522.655,0.686,341.802
1746733522.658,0.685,341.799
1746733522.663,0.685,341.794
1746733522.667,0.685,341.790
1746733522.672,0.685,341.786
1746733522.677,0.685,341.781
1746733522.680,0.684,341.778
1746733522.683,0.684,341.775
1746733522.688,0.684,341.771
1746733522.692,0.684,341.767
1746733522.695,0.684,341.764
1746733522.700,0.683,341.759
1746733522.703,0.683,341.756
1746733522.707,0.683,341.752
1746733522.774,0.680,341.691
1746733522.826,0.678,341.644
1746733522.947,0.672,341.536
1746733523.029,0.668,341.465
1746733523.033,0.668,341.462
1746733523.037,0.668,341.458
1746733523.041,0.668,341.455
1746733523.045,0.667,341.452
1746733523.049,0.667,341.449
1746733523.051,0.667,341.446
1746733523.055,0.667,341.443
1746733523.060,0.667,341.439
1746733523.063,0.666,341.437
1746733523.067,0.666,341.433
1746733523.072,0.666,341.429
1746733523.075,0.666,341.427
1746733523.080,0.666,341.423
1746733523.085,0.665,341.419
1746733523.087,0.665,341.417
1746733523.091,0.665,341.413
1746733523.096,0.665,341.409
1746733523.099,0.665,341.406
1746733523.104,0.665,341.402
1746733523.108,0.664,341.399
1746733523.110,0.664,341.397
1746733523.116,0.664,341.392
1746733523.148,0.662,341.366
1746733523.180,0.661,341.340
1746733523.184,0.661,341.336
1746733523.188,0.661,341.333
1746733523.193,0.660,341.329
1746733523.196,0.660,341.327
1746733523.200,0.660,341.323
1746733523.202,0.660,341.322
1746733523.206,0.660,341.318
1746733523.211,0.659,341.315
1746733523.213,0.659,341.312
1746733523.217,0.659,341.310
1746733523.221,0.659,341.306
1746733523.225,0.659,341.303
1746733523.228,0.659,341.301
1746733523.232,0.658,341.297
1746733523.236,0.658,341.294
1746733523.240,0.658,341.291
1746733523.292,0.656,341.250
1746733523.338,0.653,341.214
1746733523.383,0.651,341.179
1746733523.390,0.651,341.174
1746733523.394,0.651,341.171
1746733523.399,0.651,341.167
1746733523.405,0.650,341.162
1746733523.409,0.650,341.159
1746733523.415,0.650,341.155
1746733523.419,0.650,341.152
1746733523.423,0.649,341.149
1746733523.429,0.649,341.144
1746733523.432,0.649,341.142
1746733523.438,0.649,341.138
1746733523.441,0.649,341.135
1746733523.447,0.648,341.130
1746733523.453,0.648,341.126
1746733523.456,0.648,341.124
1746733523.461,0.648,341.120
1746733523.466,0.647,341.116
1746733523.469,0.647,341.114
1746733523.474,0.647,341.110
1746733523.479,0.647,341.106
1746733523.483,0.647,341.103
1746733523.488,0.646,341.100
1746733523.492,0.646,341.097
1746733523.498,0.646,341.092
1746733523.504,0.646,341.088
1746733523.506,0.645,341.087
1746733523.511,0.645,341.083
1746733523.517,0.645,341.079
1746733523.521,0.645,341.076
1746733523.526,0.644,341.072
1746733523.530,0.644,341.069
1746733523.546,0.644,341.058
1746733523.589,0.641,341.027
1746733523.641,0.639,340.990
1746733523.683,0.637,340.961
1746733523.689,0.637,340.957
1746733523.691,0.637,340.955
1746733523.730,0.635,340.928
1746733523.768,0.633,340.902
1746733523.774,0.633,340.899
1746733523.780,0.632,340.895
1746733523.784,0.632,340.892
1746733523.789,0.632,340.889
1746733523.794,0.632,340.885
1746733523.798,0.631,340.883
1746733523.803,0.631,340.879
1746733523.807,0.631,340.876
1746733523.816,0.631,340.871
1746733523.822,0.630,340.866
1746733523.830,0.630,340.862
1746733523.837,0.630,340.857
1746733523.849,0.629,340.849
1746733523.855,0.629,340.845
1746733523.861,0.628,340.841
1746733523.867,0.628,340.837
1746733523.875,0.628,340.833
1746733523.881,0.627,340.828
1746733523.889,0.627,340.823
1746733523.892,0.627,340.821
1746733523.900,0.626,340.816
1746733523.903,0.626,340.814
1746733523.909,0.626,340.810
1746733523.915,0.626,340.807
1746733523.923,0.625,340.802
1746733523.925,0.625,340.800
1746733523.931,0.625,340.797
1746733523.937,0.625,340.793
1746733523.942,0.624,340.790
1746733523.949,0.624,340.785
1746733523.953,0.624,340.783
1746733523.959,0.624,340.779
1746733523.963,0.623,340.777
1746733523.967,0.623,340.774
1746733523.976,0.623,340.769
1746733523.979,0.623,340.767
1746733524.019,0.621,340.742
1746733524.055,0.619,340.720
1746733524.060,0.619,340.718
1746733524.065,0.618,340.715
1746733524.070,0.618,340.711
1746733524.074,0.618,340.709
1746733524.079,0.618,340.706
1746733524.083,0.618,340.704
1746733524.086,0.617,340.702
1746733524.091,0.617,340.699
1746733524.094,0.617,340.697
1746733524.133,0.615,340.675
1746733524.205,0.612,340.633
1746733524.212,0.611,340.629
1746733524.216,0.611,340.627
1746733524.221,0.611,340.624
1746733524.226,0.611,340.622
1746733524.237,0.610,340.616
1746733524.242,0.610,340.613
1746733524.249,0.610,340.609
1746733524.256,0.609,340.605
1746733524.265,0.609,340.600
1746733524.268,0.609,340.598
1746733524.275,0.608,340.595
1746733524.281,0.608,340.592
1746733524.287,0.608,340.588
1746733524.291,0.607,340.586
1746733524.298,0.607,340.582
1746733524.305,0.607,340.579
1746733524.313,0.606,340.574
1746733524.317,0.606,340.572
1746733524.324,0.606,340.569
1746733524.326,0.606,340.567
1746733524.332,0.605,340.564
1746733524.336,0.605,340.562
1746733524.342,0.605,340.559
1746733524.349,0.605,340.555
1746733524.355,0.604,340.552
1746733524.362,0.604,340.548
1746733524.366,0.604,340.546
1746733524.373,0.603,340.543
1746733524.376,0.603,340.541
1746733524.382,0.603,340.538
1746733524.385,0.603,340.536
1746733524.390,0.603,340.533
1746733524.443,0.600,340.507
1746733524.504,0.597,340.476
1746733524.543,0.595,340.458
1746733524.582,0.593,340.439
1746733524.615,0.592,340.424
1746733524.620,0.591,340.422
1746733524.624,0.591,340.420
1746733524.629,0.591,340.418
1746733524.631,0.591,340.417
1746733524.636,0.591,340.414
1746733524.641,0.590,340.412
1746733524.643,0.590,340.411
1746733524.648,0.590,340.409
1746733524.652,0.590,340.407
1746733524.655,0.590,340.406
1746733524.659,0.589,340.404
1746733524.664,0.589,340.402
1746733524.666,0.589,340.401
1746733524.671,0.589,340.398
1746733524.676,0.589,340.396
1746733524.678,0.588,340.395
1746733524.683,0.588,340.393
1746733524.688,0.588,340.391
1746733524.690,0.588,340.390
1746733524.694,0.588,340.388
1746733524.700,0.587,340.386
1746733524.701,0.587,340.385
1746733524.706,0.587,340.383
1746733524.711,0.587,340.381
1746733524.714,0.587,340.380
1746733524.719,0.586,340.378
1746733524.724,0.586,340.375
1746733524.726,0.586,340.374
1746733524.731,0.586,340.372
1746733524.736,0.586,340.370
1746733524.739,0.586,340.369
1746733524.744,0.585,340.367
1746733524.749,0.585,340.365
1746733524.751,0.585,340.364
1746733524.756,0.585,340.361
1746733524.763,0.584,340.359
1746733524.767,0.584,340.357
1746733524.773,0.584,340.354
1746733524.776,0.584,340.353
1746733524.780,0.583,340.351
1746733524.786,0.583,340.349
1746733524.790,0.583,340.347
1746733524.796,0.583,340.345
1746733524.840,0.581,340.327
1746733524.896,0.578,340.304
1746733524.903,0.577,340.302
1746733524.910,0.577,340.299
1746733524.913,0.577,340.298
1746733524.920,0.577,340.295
1746733524.926,0.576,340.293
1746733524.982,0.573,340.272
1746733525.051,0.570,340.247
1746733525.116,0.567,340.225
1746733525.127,0.566,340.221
1746733525.134,0.566,340.219
1746733525.142,0.566,340.216
1746733525.149,0.565,340.214
1746733525.158,0.565,340.211
1746733525.167,0.564,340.208
1746733525.172,0.564,340.207
1746733525.178,0.564,340.205
1746733525.182,0.564,340.203
1746733525.189,0.563,340.201
1746733525.194,0.563,340.199
1746733525.204,0.562,340.196
1746733525.254,0.560,340.181
1746733525.305,0.557,340.166
1746733525.313,0.557,340.164
1746733525.318,0.557,340.162
1746733525.323,0.557,340.161
1746733525.331,0.556,340.159
1746733525.341,0.556,340.156
1746733525.345,0.556,340.155
1746733525.354,0.555,340.152
1746733525.410,0.552,340.137
1746733525.522,0.547,340.109
1746733525.531,0.546,340.107
1746733525.537,0.546,340.106
1746733525.544,0.546,340.104
1746733525.548,0.545,340.103
1746733525.558,0.545,340.101
1746733525.567,0.544,340.099
1746733525.577,0.544,340.097
1746733525.584,0.544,340.095
1746733525.709,0.537,340.070
1746733525.798,0.533,340.054
1746733525.933,0.526,340.034
1746733525.939,0.526,340.034
1746733525.944,0.526,340.033
1746733525.949,0.525,340.032
1746733525.954,0.525,340.032
1746733525.960,0.525,340.031
1746733525.965,0.525,340.030
1746733525.971,0.524,340.030
1746733525.977,0.524,340.029
1746733525.983,0.524,340.028
1746733525.989,0.523,340.027
1746733525.995,0.523,340.027
1746733526.000,0.523,340.026
1746733526.006,0.523,340.025
1746733526.011,0.522,340.025
1746733526.015,0.522,340.024
1746733526.022,0.522,340.024
1746733526.026,0.522,340.023
1746733526.033,0.521,340.022
1746733526.040,0.521,340.022
1746733526.047,0.520,340.021
1746733526.050,0.520,340.021
1746733526.056,0.520,340.020
1746733526.097,0.518,340.016
1746733526.132,0.516,340.013
1746733526.166,0.515,340.011
1746733526.172,0.514,340.010
1746733526.176,0.514,340.010
1746733526.182,0.514,340.009
1746733526.185,0.514,340.009
1746733526.191,0.513,340.009
1746733526.196,0.513,340.009
1746733526.200,0.513,340.008
1746733526.207,0.513,340.008
1746733526.213,0.512,340.007
1746733526.285,0.509,340.004
1746733526.291,0.508,340.003
1746733526.328,0.506,340.002
1746733526.335,0.506,340.002
1746733526.341,0.506,340.002
1746733526.347,0.506,340.002
1746733526.353,0.505,340.001
1746733526.356,0.505,340.001
1746733526.362,0.505,340.001
1746733526.366,0.505,340.001
1746733526.372,0.504,340.001
1746733526.378,0.504,340.001
1746733526.383,0.504,340.001
1746733526.389,0.503,340.001
1746733526.391,0.503,340.001
1746733526.396,0.503,340.000
1746733526.402,0.503,340.000
1746733526.408,0.502,340.000
1746733526.413,0.502,340.000
1746733526.417,0.502,340.000
1746733526.423,0.502,340.000
1746733526.428,0.501,340.000
