timestamp,value
1747368895.904,-9.809,-4.621,1.664
1747368896.050,-9.836,-4.675,1.711
1747368896.051,-9.836,-4.675,1.712
1747368896.053,-9.836,-4.676,1.712
1747368896.054,-9.837,-4.676,1.712
1747368896.055,-9.837,-4.677,1.713
1747368896.057,-9.837,-4.677,1.713
1747368896.058,-9.838,-4.678,1.714
1747368896.060,-9.838,-4.678,1.714
1747368896.062,-9.838,-4.679,1.715
1747368896.063,-9.838,-4.679,1.715
1747368896.064,-9.839,-4.680,1.716
1747368896.066,-9.839,-4.680,1.716
1747368896.067,-9.839,-4.681,1.717
1747368896.069,-9.839,-4.681,1.717
1747368896.070,-9.840,-4.682,1.717
1747368896.072,-9.840,-4.682,1.718
1747368896.073,-9.840,-4.683,1.718
1747368896.075,-9.840,-4.683,1.719
1747368896.076,-9.841,-4.684,1.719
1747368896.077,-9.841,-4.684,1.720
1747368896.079,-9.841,-4.685,1.720
1747368896.080,-9.841,-4.685,1.721
1747368896.082,-9.842,-4.686,1.721
1747368896.083,-9.842,-4.686,1.722
1747368896.085,-9.842,-4.687,1.722
1747368896.086,-9.843,-4.687,1.722
1747368896.088,-9.843,-4.688,1.723
1747368896.089,-9.843,-4.689,1.723
1747368896.091,-9.843,-4.689,1.724
1747368896.092,-9.844,-4.690,1.724
1747368896.094,-9.844,-4.690,1.725
1747368896.095,-9.844,-4.691,1.725
1747368896.097,-9.844,-4.691,1.726
1747368896.098,-9.845,-4.692,1.726
1747368896.100,-9.845,-4.692,1.727
1747368896.101,-9.845,-4.693,1.727
1747368896.103,-9.845,-4.693,1.728
1747368896.105,-9.846,-4.694,1.728
1747368896.106,-9.846,-4.694,1.728
1747368896.108,-9.846,-4.695,1.729
1747368896.109,-9.847,-4.695,1.729
1747368896.111,-9.847,-4.696,1.730
1747368896.112,-9.847,-4.696,1.730
1747368896.114,-9.847,-4.697,1.731
1747368896.115,-9.848,-4.698,1.731
1747368896.117,-9.848,-4.698,1.732
1747368896.119,-9.848,-4.699,1.732
1747368896.120,-9.848,-4.699,1.733
1747368896.122,-9.849,-4.700,1.733
1747368896.137,-9.851,-4.705,1.738
1747368896.138,-9.852,-4.705,1.738
1747368896.140,-9.852,-4.706,1.739
1747368896.141,-9.852,-4.706,1.739
1747368896.143,-9.852,-4.707,1.739
1747368896.145,-9.853,-4.707,1.740
1747368896.146,-9.853,-4.708,1.740
1747368896.148,-9.853,-4.709,1.741
1747368896.149,-9.853,-4.709,1.741
1747368896.151,-9.854,-4.710,1.742
1747368896.153,-9.854,-4.710,1.742
