timestamp,amplitude,frequency
1747368895.904,0.010,362.712
1747368896.050,0.008,363.176
1747368896.051,0.008,363.181
1747368896.053,0.008,363.185
1747368896.054,0.008,363.190
1747368896.055,0.008,363.194
1747368896.057,0.008,363.199
1747368896.058,0.008,363.204
1747368896.060,0.008,363.209
1747368896.062,0.008,363.214
1747368896.063,0.008,363.219
1747368896.064,0.008,363.223
1747368896.066,0.008,363.228
1747368896.067,0.008,363.232
1747368896.069,0.008,363.237
1747368896.070,0.008,363.242
1747368896.072,0.008,363.246
1747368896.073,0.008,363.251
1747368896.075,0.008,363.256
1747368896.076,0.008,363.261
1747368896.077,0.008,363.265
1747368896.079,0.008,363.270
1747368896.080,0.008,363.274
1747368896.082,0.008,363.279
1747368896.083,0.008,363.284
1747368896.085,0.008,363.289
1747368896.086,0.008,363.293
1747368896.088,0.008,363.298
1747368896.089,0.008,363.303
1747368896.091,0.008,363.308
1747368896.092,0.008,363.313
1747368896.094,0.008,363.318
1747368896.095,0.008,363.322
1747368896.097,0.008,363.327
1747368896.098,0.008,363.332
1747368896.100,0.008,363.337
1747368896.101,0.008,363.342
1747368896.103,0.008,363.347
1747368896.105,0.008,363.352
1747368896.106,0.008,363.357
1747368896.108,0.008,363.362
1747368896.109,0.008,363.367
1747368896.111,0.008,363.372
1747368896.112,0.008,363.377
1747368896.114,0.008,363.382
1747368896.115,0.008,363.387
1747368896.117,0.008,363.392
1747368896.119,0.008,363.397
1747368896.120,0.008,363.402
1747368896.122,0.008,363.407
1747368896.137,0.007,363.455
1747368896.138,0.007,363.460
1747368896.140,0.007,363.465
1747368896.141,0.007,363.471
1747368896.143,0.007,363.476
1747368896.145,0.007,363.481
1747368896.146,0.007,363.486
1747368896.148,0.007,363.491
1747368896.149,0.007,363.497
1747368896.151,0.007,363.502
1747368896.153,0.007,363.507
1747368896.154,0.007,363.512
1747368896.156,0.007,363.518
1747368896.158,0.007,363.523
1747368896.159,0.007,363.528
1747368896.161,0.007,363.534
1747368896.163,0.007,363.539
1747368896.164,0.007,363.545
1747368896.166,0.007,363.550
1747368896.168,0.007,363.556
1747368896.170,0.007,363.561
1747368896.171,0.007,363.567
1747368896.173,0.007,363.572
1747368896.175,0.007,363.578
1747368896.176,0.007,363.583
1747368896.178,0.007,363.589
1747368896.180,0.007,363.594
1747368896.182,0.007,363.600
1747368896.183,0.007,363.606
1747368896.185,0.007,363.611
1747368896.187,0.007,363.617
1747368896.189,0.007,363.623
1747368896.190,0.007,363.628
1747368896.192,0.007,363.634
1747368896.194,0.007,363.640
1747368896.196,0.007,363.645
1747368896.197,0.007,363.651
1747368896.199,0.007,363.657
1747368896.201,0.007,363.662
1747368896.203,0.007,363.668
1747368896.204,0.007,363.673
1747368896.206,0.007,363.679
1747368896.208,0.007,363.685
1747368896.210,0.007,363.690
1747368896.211,0.007,363.696
1747368896.213,0.007,363.701
1747368896.215,0.007,363.707
1747368896.216,0.007,363.712
1747368896.218,0.007,363.718
1747368896.220,0.007,363.723
1747368896.228,0.007,363.751
1747368896.230,0.007,363.756
1747368896.232,0.007,363.762
1747368896.233,0.007,363.767
1747368896.235,0.007,363.772
1747368896.236,0.007,363.777
1747368896.238,0.007,363.783
1747368896.240,0.007,363.788
1747368896.242,0.007,363.794
1747368896.243,0.007,363.799
1747368896.245,0.007,363.804
1747368896.246,0.007,363.810
1747368896.248,0.007,363.815
1747368896.250,0.006,363.820
1747368896.252,0.006,363.828
1747368896.254,0.006,363.834
1747368896.256,0.006,363.839
1747368896.257,0.006,363.845
1747368896.259,0.006,363.851
1747368896.261,0.006,363.857
1747368896.263,0.006,363.862
1747368896.264,0.006,363.868
1747368896.266,0.006,363.874
1747368896.268,0.006,363.879
1747368896.270,0.006,363.885
1747368896.272,0.006,363.891
1747368896.273,0.006,363.897
1747368896.275,0.006,363.902
1747368896.277,0.006,363.908
1747368896.279,0.006,363.914
1747368896.281,0.006,363.920
1747368896.282,0.006,363.926
1747368896.284,0.006,363.932
1747368896.286,0.006,363.938
1747368896.288,0.006,363.944
1747368896.290,0.006,363.950
1747368896.292,0.006,363.956
1747368896.294,0.006,363.962
1747368896.295,0.006,363.968
1747368896.297,0.006,363.974
1747368896.299,0.006,363.980
1747368896.301,0.006,363.986
1747368896.303,0.006,363.992
1747368896.305,0.006,363.998
1747368896.306,0.006,364.004
1747368896.308,0.006,364.010
1747368896.310,0.006,364.017
1747368896.312,0.006,364.023
1747368896.314,0.006,364.029
1747368896.316,0.006,364.036
1747368896.327,0.006,364.071
1747368896.329,0.006,364.077
1747368896.331,0.006,364.083
1747368896.333,0.006,364.089
1747368896.334,0.006,364.095
1747368896.336,0.006,364.102
1747368896.338,0.006,364.108
1747368896.340,0.006,364.114
1747368896.342,0.006,364.121
1747368896.344,0.006,364.127
1747368896.346,0.006,364.133
1747368896.348,0.006,364.139
1747368896.350,0.006,364.146
1747368896.352,0.006,364.152
1747368896.354,0.006,364.158
1747368896.356,0.006,364.164
1747368896.358,0.006,364.171
1747368896.359,0.006,364.177
1747368896.361,0.006,364.183
1747368896.364,0.006,364.190
1747368896.365,0.006,364.196
1747368896.367,0.006,364.203
1747368896.369,0.006,364.209
1747368896.371,0.006,364.216
1747368896.373,0.006,364.222
1747368896.375,0.006,364.229
1747368896.377,0.006,364.235
1747368896.379,0.005,364.242
1747368896.381,0.005,364.249
1747368896.383,0.005,364.255
1747368896.386,0.005,364.262
1747368896.388,0.005,364.269
1747368896.390,0.005,364.276
1747368896.392,0.005,364.282
1747368896.394,0.005,364.289
1747368896.396,0.005,364.296
1747368896.398,0.005,364.302
1747368896.400,0.005,364.309
1747368896.402,0.005,364.316
1747368896.404,0.005,364.323
1747368896.406,0.005,364.329
1747368896.409,0.005,364.337
1747368896.411,0.005,364.344
